p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
86.6127, 0.18704, 5.1438, -13.9019, 459, 0.256782, 0.666252, 13.985, 3.66214, 2.74265, 2.24214, 2.0034, 0.110763
58.5451, -0.0152208, 0.699956, -41.9696, 355, 0.249295, 0.54715, 2.3239, 2.0196, 1.88782, 1.73364, 1.72892, 0
58.2757, -0.475289, 5.4878, -42.2389, 376, 0.243969, 0.613429, 2.83739, 1.90487, 1.67284, 1.58874, 1.48566, 0
58.1764, -0.278633, 3.32035, -42.3383, 357, 0.262168, 0.593637, 1.99081, 1.97204, 1.96439, 1.90533, 1.90173, 0.00133464
49.2975, 0.334937, 4.31315, -51.2172, 328, 0.259267, 0.573226, 2.38338, 1.85995, 1.81728, 1.78091, 1.72885, 0
34.8509, 0.431006, 3.48338, -65.6637, 226, 0.225258, 0.520163, 1.7897, 1.68363, 1.56506, 1.36365, 1.35931, 0
33.4804, 0.113044, 1.72696, -67.0342, 216, 0.199603, 0.485224, 2.19705, 1.75357, 1.6718, 1.36725, 1.27215, 0.00743844
31.8159, -0.464866, 5.96597, -68.6988, 188, 0.221144, 0.623841, 2.66016, 1.85812, 1.70134, 1.63199, 1.60998, 0
26.4235, -0.109517, 2.47813, -74.0912, 172, 0.218281, 0.562202, 1.81293, 1.69083, 1.60237, 1.55938, 1.40559, 0.00185233
16.9303, -0.224504, 1.36342, -83.5843, 114, 0.140444, 0.583805, 4.35634, 1.54762, 1.28977, 1.04134, 1.03862, 0.00152076
96.1224, -0.00133166, 4.77269, -6.14783, 683, 0.284902, 0.531063, 3.31844, 2.41794, 2.24816, 2.13645, 1.99335, 0.0093233
